Date,Name,ELO_smooth
2015-01-06,Barbara Graczyk-Gibiec,NA
2015-01-06,Benjamin Oh,NA
2015-01-06,Bertie Carvey,NA
2015-01-06,Bethan Mattingley,NA
2015-01-06,Bill Harle,NA
2015-01-06,Bill Hunt,NA
2015-01-06,Bill Wilkins,NA
2015-01-06,Celso Bettencourt Pinto,NA
2015-01-06,Charles Summers,NA
2015-01-06,Chris Fox,NA
2015-01-06,Chris Golding,NA
2015-01-06,Chris Hooper,1633
2015-01-06,Christine Muschiato,NA
2015-01-06,Cian Grattidge,NA
2015-01-06,Con Ariti,NA
2015-01-06,Connor Evans,NA
2015-01-06,Conor Hunt,NA
2015-01-06,Csege Hanczar,NA
2015-01-06,Csombor Hanczar,NA
2015-01-06,Cyril Ley,NA
2015-01-06,Dave McGhee,NA
2015-01-06,David L Roberts,NA
2015-01-06,David ODonnell,NA
2015-01-06,David Thorne,NA
2015-01-06,Dennis Stokes-Carter,NA
2015-01-06,Derek Jones,NA
2015-01-06,Derek Smith,NA
2015-01-06,Dominic Murray,NA
2015-01-06,Edward Donovan,1820
2015-01-06,Edward Mason,1694
2015-01-06,Egor Muljarov,NA
2015-01-06,Elliott MacNeil,NA
2015-01-06,Emma Kong,NA
2015-01-06,Evan Lewis,NA
2015-01-06,Gavin Jones,NA
2015-01-06,George Turner,NA
2015-01-06,Georgi Korovski,NA
2015-01-06,Greg Lloyd,NA
2015-01-06,Gruff Jones,NA
2015-01-06,Grzegorz Toczek,NA
2015-01-06,Guy Wagner,NA
2015-01-06,Hamid Farani Sani,NA
2015-01-06,Hanni Youssef,1680
2015-01-06,HaoYu Yin,NA
2015-01-06,Harri Hampson,NA
2015-01-06,Hefin Jones,NA
2015-01-06,Henry Jones,NA
2015-01-06,Hugh Price,NA
2015-01-06,Ieuan Bevan Jones,NA
2015-01-06,Isaac Aljabri,NA
2015-01-06,Ivan De La Cruz,NA
2015-01-06,Jack Nicol,NA
2015-01-06,Jaime Davies,NA
2015-01-06,Jake Hurley,NA
2015-01-06,James Tapp,NA
2015-01-06,Javier Martin Perez,NA
2015-01-06,Jeff Rowland,1821
2015-01-06,Jen Taylor,NA
2015-01-06,Joe Fathallah,2026
2015-01-06,John Fletcher,NA
2015-01-06,John Hannay,NA
2015-01-06,John Rowles,NA
2015-01-06,John Trevelyan,NA
2015-01-06,Jonathan Bold,NA
2015-01-06,Jonathan Lewis,NA
2015-01-06,Joseph Sartin,NA
2015-01-06,Joseph Setchfield,NA
2015-01-06,Josh Robinson,NA
2015-01-06,Joshua McKenna,NA
2015-01-06,Juan Carlos Payan,NA
2015-01-06,Juan Rodriguez,NA
2015-01-06,Jude Roberts,NA
2015-01-06,Keith Thompson,1912
2015-01-06,Kimberly Chong,NA
2015-01-06,Kristan Enoch,NA
2015-01-06,Krzysztof Jakubiak,NA
2015-01-06,Leon Zedlmayer,NA
2015-01-06,Marcell Vesz,NA
2015-01-06,Mark Maddock,NA
2015-01-06,Martin Blackman-Siegler,NA
2015-01-06,Mateusz Graczyk,NA
2015-01-06,Matt Staniforth,NA
2015-01-06,Matthew Davies,NA
2015-01-06,Matthew Wilson,NA
2015-01-06,Micah OToole,NA
2015-01-06,Michael Arribas-Ayllon,NA
2015-01-06,Mike Edwards,NA
2015-01-06,Mike Smith,NA
2015-01-06,Miltos Zoumekas,NA
2015-01-06,Muhieddin Hamadah,NA
2015-01-06,Nick Van Noorden,NA
2015-01-06,Nigel Ralphs,NA
2015-01-06,Oleksandr Zhuravel,NA
2015-01-06,Olivia Smith,NA
2015-01-06,Paul Meara,NA
2015-01-06,Peter Ehsandar,NA
2015-01-06,Peter Quinn,NA
2015-01-06,Phil Buttle,NA
2015-01-06,Piotr Graczyk,NA
2015-01-06,Reginald Mba,NA
2015-01-06,Reuben Hilliar,NA
